,Question,Structure,Set,variable,value
146,How difficult would it be to collect information on each section in football environment ?,Session detail, Core set,P3,Easy
147,How difficult would it be to collect information on each section in football environment ?,Contextual information, Core set,P3,Difficult
148,How difficult would it be to collect information on each section in football environment ?,Contact type,Additional information,P3,
149,How difficult would it be to collect information on each section in football environment ?,Physical activity,Additional information,P3,
150,How difficult would it be to collect information on each section in football environment ?,Ball situation,Additional information,P3,
151,How difficult would it be to collect information on each section in football environment ?,Session detail,Additional information,P3,
152,How difficult would it be to collect information on each section in football environment ?,Contextual information,Additional information,P3,
153,How difficult would implementing the system in research environment be?,Contact type, Core set,P3,Easy
154,How difficult would implementing the system in research environment be?,Physical activity, Core set,P3,Easy
155,How difficult would implementing the system in research environment be?,Ball situation, Core set,P3,Easy
156,How difficult would implementing the system in research environment be?,Session detail, Core set,P3,Neutral
157,How difficult would implementing the system in research environment be?,Contextual information, Core set,P3,Neutral
158,How difficult would implementing the system in research environment be?,Contact type,Additional information,P3,
159,How difficult would implementing the system in research environment be?,Physical activity,Additional information,P3,
160,How difficult would implementing the system in research environment be?,Ball situation,Additional information,P3,
161,How difficult would implementing the system in research environment be?,Session detail,Additional information,P3,
162,How difficult would implementing the system in research environment be?,Contextual information,Additional information,P3,
163,Please rate how much you agree with the content and the organisation of the following sections of the system,Main structure, Core set,P4,Strongly agree
164,Please rate how much you agree with the content and the organisation of the following sections of the system,Contact type, Core set,P4,Strongly agree
165,Please rate how much you agree with the content and the organisation of the following sections of the system,Physical activity, Core set,P4,Strongly agree
166,Please rate how much you agree with the content and the organisation of the following sections of the system,Ball situation, Core set,P4,Strongly agree
167,Please rate how much you agree with the content and the organisation of the following sections of the system,Session detail, Core set,P4,Strongly agree
168,Please rate how much you agree with the content and the organisation of the following sections of the system,Contextual information, Core set,P4,Strongly agree
169,Please rate how much you agree with the content and the organisation of the following sections of the system,Main structure,Additional information,P4,Strongly agree
170,Please rate how much you agree with the content and the organisation of the following sections of the system,Contact type,Additional information,P4,Strongly agree
171,Please rate how much you agree with the content and the organisation of the following sections of the system,Physical activity,Additional information,P4,Strongly agree
172,Please rate how much you agree with the content and the organisation of the following sections of the system,Ball situation,Additional information,P4,Strongly agree
173,Please rate how much you agree with the content and the organisation of the following sections of the system,Session detail,Additional information,P4,Strongly agree
174,Please rate how much you agree with the content and the organisation of the following sections of the system,Contextual information,Additional information,P4,Strongly agree
175, How important is including the following information when reporting injury mechanisms in football ? ,Contact type, Core set,P4,Extremely
176, How important is including the following information when reporting injury mechanisms in football ? ,Physical activity, Core set,P4,Extremely
177, How important is including the following information when reporting injury mechanisms in football ? ,Ball situation, Core set,P4,Extremely
178, How important is including the following information when reporting injury mechanisms in football ? ,Session detail, Core set,P4,Extremely
179, How important is including the following information when reporting injury mechanisms in football ? ,Contextual information, Core set,P4,Moderately
180, How important is including the following information when reporting injury mechanisms in football ? ,Contact type,Additional information,P4,Extremely
181, How important is including the following information when reporting injury mechanisms in football ? ,Physical activity,Additional information,P4,Extremely
182, How important is including the following information when reporting injury mechanisms in football ? ,Ball situation,Additional information,P4,Extremely
183, How important is including the following information when reporting injury mechanisms in football ? ,Session detail,Additional information,P4,Extremely
184, How important is including the following information when reporting injury mechanisms in football ? ,Contextual information,Additional information,P4,Moderately
185,Please rate the clarity of each section,Main structure, Core set,P4,Excellent
186,Please rate the clarity of each section,Contact type, Core set,P4,Excellent
187,Please rate the clarity of each section,Physical activity, Core set,P4,Excellent
188,Please rate the clarity of each section,Ball situation, Core set,P4,Very good
189,Please rate the clarity of each section,Session detail, Core set,P4,Excellent
190,Please rate the clarity of each section,Contextual information, Core set,P4,Very good
191,Please rate the clarity of each section,Main structure,Additional information,P4,Excellent
192,Please rate the clarity of each section,Contact type,Additional information,P4,Excellent
193,Please rate the clarity of each section,Physical activity,Additional information,P4,Excellent
194,Please rate the clarity of each section,Ball situation,Additional information,P4,Very good
195,Please rate the clarity of each section,Session detail,Additional information,P4,Excellent
196,Please rate the clarity of each section,Contextual information,Additional information,P4,Very good
197,How difficult would it be to collect information on each section in football environment ?,Contact type, Core set,P4,Very easy
198,How difficult would it be to collect information on each section in football environment ?,Physical activity, Core set,P4,Very easy
199,How difficult would it be to collect information on each section in football environment ?,Ball situation, Core set,P4,Very easy
200,How difficult would it be to collect information on each section in football environment ?,Session detail, Core set,P4,Very easy
201,How difficult would it be to collect information on each section in football environment ?,Contextual information, Core set,P4,Very easy
202,How difficult would it be to collect information on each section in football environment ?,Contact type,Additional information,P4,Very easy
203,How difficult would it be to collect information on each section in football environment ?,Physical activity,Additional information,P4,Very easy
204,How difficult would it be to collect information on each section in football environment ?,Ball situation,Additional information,P4,Very easy
205,How difficult would it be to collect information on each section in football environment ?,Session detail,Additional information,P4,Very easy
206,How difficult would it be to collect information on each section in football environment ?,Contextual information,Additional information,P4,Very easy
207,How difficult would implementing the system in research environment be?,Contact type, Core set,P4,Very easy
208,How difficult would implementing the system in research environment be?,Physical activity, Core set,P4,Very easy
209,How difficult would implementing the system in research environment be?,Ball situation, Core set,P4,Very easy
210,How difficult would implementing the system in research environment be?,Session detail, Core set,P4,Very easy
211,How difficult would implementing the system in research environment be?,Contextual information, Core set,P4,Very easy
212,How difficult would implementing the system in research environment be?,Contact type,Additional information,P4,Very easy
213,How difficult would implementing the system in research environment be?,Physical activity,Additional information,P4,Very easy
214,How difficult would implementing the system in research environment be?,Ball situation,Additional information,P4,Very easy
215,How difficult would implementing the system in research environment be?,Session detail,Additional information,P4,Very easy
216,How difficult would implementing the system in research environment be?,Contextual information,Additional information,P4,Very easy
217,Please rate how much you agree with the content and the organisation of the following sections of the system,Main structure, Core set,P5,Strongly agree
218,Please rate how much you agree with the content and the organisation of the following sections of the system,Contact type, Core set,P5,Strongly agree
219,Please rate how much you agree with the content and the organisation of the following sections of the system,Physical activity, Core set,P5,Strongly agree
220,Please rate how much you agree with the content and the organisation of the following sections of the system,Ball situation, Core set,P5,Strongly agree
221,Please rate how much you agree with the content and the organisation of the following sections of the system,Session detail, Core set,P5,Neither agree nor disagree
222,Please rate how much you agree with the content and the organisation of the following sections of the system,Contextual information, Core set,P5,
223,Please rate how much you agree with the content and the organisation of the following sections of the system,Main structure,Additional information,P5,Strongly agree
224,Please rate how much you agree with the content and the organisation of the following sections of the system,Contact type,Additional information,P5,Strongly agree
225,Please rate how much you agree with the content and the organisation of the following sections of the system,Physical activity,Additional information,P5,Strongly agree
226,Please rate how much you agree with the content and the organisation of the following sections of the system,Ball situation,Additional information,P5,Agree
227,Please rate how much you agree with the content and the organisation of the following sections of the system,Session detail,Additional information,P5,Agree
228,Please rate how much you agree with the content and the organisation of the following sections of the system,Contextual information,Additional information,P5,Neither agree nor disagree
229, How important is including the following information when reporting injury mechanisms in football ? ,Contact type, Core set,P5,Extremely
230, How important is including the following information when reporting injury mechanisms in football ? ,Physical activity, Core set,P5,Extremely
231, How important is including the following information when reporting injury mechanisms in football ? ,Ball situation, Core set,P5,Neutral
232, How important is including the following information when reporting injury mechanisms in football ? ,Session detail, Core set,P5,Moderately
233, How important is including the following information when reporting injury mechanisms in football ? ,Contextual information, Core set,P5,Neutral
234, How important is including the following information when reporting injury mechanisms in football ? ,Contact type,Additional information,P5,Extremely
235, How important is including the following information when reporting injury mechanisms in football ? ,Physical activity,Additional information,P5,Extremely
236, How important is including the following information when reporting injury mechanisms in football ? ,Ball situation,Additional information,P5,Extremely
237, How important is including the following information when reporting injury mechanisms in football ? ,Session detail,Additional information,P5,Moderately
238, How important is including the following information when reporting injury mechanisms in football ? ,Contextual information,Additional information,P5,Neutral
239,Please rate the clarity of each section,Main structure, Core set,P5,Excellent
240,Please rate the clarity of each section,Contact type, Core set,P5,Excellent
241,Please rate the clarity of each section,Physical activity, Core set,P5,Excellent
242,Please rate the clarity of each section,Ball situation, Core set,P5,Excellent
243,Please rate the clarity of each section,Session detail, Core set,P5,Very good
244,Please rate the clarity of each section,Contextual information, Core set,P5,
245,Please rate the clarity of each section,Main structure,Additional information,P5,Excellent
246,Please rate the clarity of each section,Contact type,Additional information,P5,Excellent
247,Please rate the clarity of each section,Physical activity,Additional information,P5,Excellent
248,Please rate the clarity of each section,Ball situation,Additional information,P5,Good
249,Please rate the clarity of each section,Session detail,Additional information,P5,Very good
250,Please rate the clarity of each section,Contextual information,Additional information,P5,Good
251,How difficult would it be to collect information on each section in football environment ?,Contact type, Core set,P5,Very easy
252,How difficult would it be to collect information on each section in football environment ?,Physical activity, Core set,P5,Very easy
253,How difficult would it be to collect information on each section in football environment ?,Ball situation, Core set,P5,Very easy
254,How difficult would it be to collect information on each section in football environment ?,Session detail, Core set,P5,Easy
255,How difficult would it be to collect information on each section in football environment ?,Contextual information, Core set,P5,
256,How difficult would it be to collect information on each section in football environment ?,Contact type,Additional information,P5,
257,How difficult would it be to collect information on each section in football environment ?,Physical activity,Additional information,P5,Very easy
258,How difficult would it be to collect information on each section in football environment ?,Ball situation,Additional information,P5,Neutral
259,How difficult would it be to collect information on each section in football environment ?,Session detail,Additional information,P5,Very easy
260,How difficult would it be to collect information on each section in football environment ?,Contextual information,Additional information,P5,Easy
261,How difficult would implementing the system in research environment be?,Contact type, Core set,P5,Very easy
262,How difficult would implementing the system in research environment be?,Physical activity, Core set,P5,Very easy
263,How difficult would implementing the system in research environment be?,Ball situation, Core set,P5,Easy
264,How difficult would implementing the system in research environment be?,Session detail, Core set,P5,Easy
265,How difficult would implementing the system in research environment be?,Contextual information, Core set,P5,
266,How difficult would implementing the system in research environment be?,Contact type,Additional information,P5,
267,How difficult would implementing the system in research environment be?,Physical activity,Additional information,P5,Very easy
268,How difficult would implementing the system in research environment be?,Ball situation,Additional information,P5,Easy
269,How difficult would implementing the system in research environment be?,Session detail,Additional information,P5,Easy
270,How difficult would implementing the system in research environment be?,Contextual information,Additional information,P5,Neutral
271,Please rate how much you agree with the content and the organisation of the following sections of the system,Main structure, Core set,P6,Strongly agree
272,Please rate how much you agree with the content and the organisation of the following sections of the system,Contact type, Core set,P6,Strongly agree
273,Please rate how much you agree with the content and the organisation of the following sections of the system,Physical activity, Core set,P6,Strongly agree
274,Please rate how much you agree with the content and the organisation of the following sections of the system,Ball situation, Core set,P6,Strongly agree
275,Please rate how much you agree with the content and the organisation of the following sections of the system,Session detail, Core set,P6,Strongly agree
276,Please rate how much you agree with the content and the organisation of the following sections of the system,Contextual information, Core set,P6,Strongly agree
277,Please rate how much you agree with the content and the organisation of the following sections of the system,Main structure,Additional information,P6,
278,Please rate how much you agree with the content and the organisation of the following sections of the system,Contact type,Additional information,P6,Agree
279,Please rate how much you agree with the content and the organisation of the following sections of the system,Physical activity,Additional information,P6,Agree
280,Please rate how much you agree with the content and the organisation of the following sections of the system,Ball situation,Additional information,P6,Agree
281,Please rate how much you agree with the content and the organisation of the following sections of the system,Session detail,Additional information,P6,Neither agree nor disagree
282,Please rate how much you agree with the content and the organisation of the following sections of the system,Contextual information,Additional information,P6,Agree
283, How important is including the following information when reporting injury mechanisms in football ? ,Contact type, Core set,P6,Extremely
284, How important is including the following information when reporting injury mechanisms in football ? ,Physical activity, Core set,P6,Extremely
285, How important is including the following information when reporting injury mechanisms in football ? ,Ball situation, Core set,P6,Extremely
286, How important is including the following information when reporting injury mechanisms in football ? ,Session detail, Core set,P6,Extremely
287, How important is including the following information when reporting injury mechanisms in football ? ,Contextual information, Core set,P6,Extremely
288, How important is including the following information when reporting injury mechanisms in football ? ,Contact type,Additional information,P6,Moderately
289, How important is including the following information when reporting injury mechanisms in football ? ,Physical activity,Additional information,P6,Moderately
290, How important is including the following information when reporting injury mechanisms in football ? ,Ball situation,Additional information,P6,Moderately
291, How important is including the following information when reporting injury mechanisms in football ? ,Session detail,Additional information,P6,Neutral
292, How important is including the following information when reporting injury mechanisms in football ? ,Contextual information,Additional information,P6,Neutral
293,Please rate the clarity of each section,Main structure, Core set,P6,Excellent
294,Please rate the clarity of each section,Contact type, Core set,P6,Excellent
295,Please rate the clarity of each section,Physical activity, Core set,P6,Excellent
296,Please rate the clarity of each section,Ball situation, Core set,P6,Excellent
297,Please rate the clarity of each section,Session detail, Core set,P6,Excellent
298,Please rate the clarity of each section,Contextual information, Core set,P6,Excellent
299,Please rate the clarity of each section,Main structure,Additional information,P6,Fair
300,Please rate the clarity of each section,Contact type,Additional information,P6,Excellent
301,Please rate the clarity of each section,Physical activity,Additional information,P6,Very good
302,Please rate the clarity of each section,Ball situation,Additional information,P6,Excellent
303,Please rate the clarity of each section,Session detail,Additional information,P6,Fair
304,Please rate the clarity of each section,Contextual information,Additional information,P6,Fair
305,How difficult would it be to collect information on each section in football environment ?,Contact type, Core set,P6,Very easy
306,How difficult would it be to collect information on each section in football environment ?,Physical activity, Core set,P6,Very easy
307,How difficult would it be to collect information on each section in football environment ?,Ball situation, Core set,P6,Very easy
308,How difficult would it be to collect information on each section in football environment ?,Session detail, Core set,P6,Very easy
309,How difficult would it be to collect information on each section in football environment ?,Contextual information, Core set,P6,Very easy
310,How difficult would it be to collect information on each section in football environment ?,Contact type,Additional information,P6,Very easy
311,How difficult would it be to collect information on each section in football environment ?,Physical activity,Additional information,P6,Very easy
312,How difficult would it be to collect information on each section in football environment ?,Ball situation,Additional information,P6,Very easy
313,How difficult would it be to collect information on each section in football environment ?,Session detail,Additional information,P6,Very easy
314,How difficult would it be to collect information on each section in football environment ?,Contextual information,Additional information,P6,Very easy
315,How difficult would implementing the system in research environment be?,Contact type, Core set,P6,Very easy
316,How difficult would implementing the system in research environment be?,Physical activity, Core set,P6,Very easy
317,How difficult would implementing the system in research environment be?,Ball situation, Core set,P6,Very easy
318,How difficult would implementing the system in research environment be?,Session detail, Core set,P6,Very easy
319,How difficult would implementing the system in research environment be?,Contextual information, Core set,P6,Very easy
320,How difficult would implementing the system in research environment be?,Contact type,Additional information,P6,Very easy
321,How difficult would implementing the system in research environment be?,Physical activity,Additional information,P6,Very easy
322,How difficult would implementing the system in research environment be?,Ball situation,Additional information,P6,Very easy
323,How difficult would implementing the system in research environment be?,Session detail,Additional information,P6,Very easy
324,How difficult would implementing the system in research environment be?,Contextual information,Additional information,P6,Very easy
325,Please rate how much you agree with the content and the organisation of the following sections of the system,Main structure, Core set,P7,Agree
326,Please rate how much you agree with the content and the organisation of the following sections of the system,Contact type, Core set,P7,Agree
327,Please rate how much you agree with the content and the organisation of the following sections of the system,Physical activity, Core set,P7,Agree
328,Please rate how much you agree with the content and the organisation of the following sections of the system,Ball situation, Core set,P7,Agree
329,Please rate how much you agree with the content and the organisation of the following sections of the system,Session detail, Core set,P7,Agree
330,Please rate how much you agree with the content and the organisation of the following sections of the system,Contextual information, Core set,P7,Agree
331,Please rate how much you agree with the content and the organisation of the following sections of the system,Main structure,Additional information,P7,Agree
332,Please rate how much you agree with the content and the organisation of the following sections of the system,Contact type,Additional information,P7,Agree
333,Please rate how much you agree with the content and the organisation of the following sections of the system,Physical activity,Additional information,P7,Agree
334,Please rate how much you agree with the content and the organisation of the following sections of the system,Ball situation,Additional information,P7,Agree
335,Please rate how much you agree with the content and the organisation of the following sections of the system,Session detail,Additional information,P7,Agree
336,Please rate how much you agree with the content and the organisation of the following sections of the system,Contextual information,Additional information,P7,Agree
337, How important is including the following information when reporting injury mechanisms in football ? ,Contact type, Core set,P7,Extremely
338, How important is including the following information when reporting injury mechanisms in football ? ,Physical activity, Core set,P7,Extremely
339, How important is including the following information when reporting injury mechanisms in football ? ,Ball situation, Core set,P7,Extremely
340, How important is including the following information when reporting injury mechanisms in football ? ,Session detail, Core set,P7,Extremely
341, How important is including the following information when reporting injury mechanisms in football ? ,Contextual information, Core set,P7,Moderately
342, How important is including the following information when reporting injury mechanisms in football ? ,Contact type,Additional information,P7,Moderately
343, How important is including the following information when reporting injury mechanisms in football ? ,Physical activity,Additional information,P7,Moderately
344, How important is including the following information when reporting injury mechanisms in football ? ,Ball situation,Additional information,P7,Moderately
345, How important is including the following information when reporting injury mechanisms in football ? ,Session detail,Additional information,P7,Moderately
346, How important is including the following information when reporting injury mechanisms in football ? ,Contextual information,Additional information,P7,Neutral
347,Please rate the clarity of each section,Main structure, Core set,P7,Very good
348,Please rate the clarity of each section,Contact type, Core set,P7,Very good
349,Please rate the clarity of each section,Physical activity, Core set,P7,Very good
350,Please rate the clarity of each section,Ball situation, Core set,P7,Very good
351,Please rate the clarity of each section,Session detail, Core set,P7,
